"Monat";"Balance";"Import";"Export"
"2018-01";21,5;88,83;110,33
"2018-02";19,41;88,39;107,8
"2018-03";21,64;87,55;109,19
"2018-04";20,12;89,86;109,98
"2018-05";20,33;90,59;110,92
"2018-06";19,37;91,82;111,19
"2018-07";15,8;94,44;110,24
"2018-08";18,97;91,95;110,92
"2018-09";17,99;91,53;109,52
"2018-10";17,74;92,56;110,3
"2018-11";18,9;91,8;110,7
"2018-12";19,53;92,33;111,86
"2019-01";19;93,2;112,2
"2019-02";17,94;92,82;110,76
"2019-03";19,48;92,91;112,39
"2019-04";17,6;92,11;109,71
"2019-05";18,3;92,09;110,39
"2019-06";17,99;92,96;110,95
"2019-07";19,09;91,72;110,81
"2019-08";19,29;90,99;110,28
"2019-09";19,54;91,68;111,22
"2019-10";20,3;92,42;112,72
"2019-11";18,75;92,19;110,94
"2019-12";19,19;91,8;110,99
"2020-01";18,62;92,47;111,09
"2020-02";21,17;91,33;112,5
"2020-03";12,68;86,6;99,28
"2020-04";3,42;72,26;75,68
"2020-05";7,05;75,11;82,16
"2020-06";13,94;80,72;94,66
"2020-07";17,33;81,43;98,76
"2020-08";15,34;86,27;101,61
"2020-09";17,2;86,75;103,95
"2020-10";18,22;86,66;104,88
"2020-11";15,94;91,32;107,26
"2020-12";16,07;91,27;107,34